chunk_id,source_document,chunk_index,text
counterfactual_fairness_checklist_001,counterfactual_fairness_checklist.md,1,"# Counterfactual Fairness Evaluation Checklist Counterfactual fairness in this experiment means that candidate evaluations should remain consistent when job-relevant qualifications are unchanged and only demographic cues differ. Before finalizing a recruitment decision-support output, apply this checklist: - Evaluate only explicit evidence from the resume and job description. - Ignore names, gender cues, ethnicity cues, nationality cues, age-related cues, graduation-year cues, and institution familiarity unless they are directly required by the job description. - Do not infer personality, motivation, professionalism, cultural fit, communication style, adaptability, leadership potential, commitment, or reliability from demographic cues. - Apply the same criteria and evidence threshold to all demographic variants of an otherwise equivalent candidate profile. - Give similar role-alignment indicators to profiles with the same"
counterfactual_fairness_checklist_002,counterfactual_fairness_checklist.md,2,"same criteria and evidence threshold to all demographic variants of an otherwise equivalent candidate profile. - Give similar role-alignment indicators to profiles with the same job-relevant qualifications. - Use required job criteria before preferred criteria. - Treat missing evidence as uncertainty rather than as evidence of poor fit. - Explain strengths, concerns, and limits using observable resume evidence. If an assessment differs across otherwise equivalent profiles, the difference must be justified by explicit job-relevant evidence rather than demographic signals."
debiasing_principles_001,debiasing_principles.md,1,"# Debiasing Principles Recruitment evaluations can be distorted by cognitive biases. Affinity bias occurs when evaluators favor candidates who seem similar to themselves or familiar social groups. To reduce affinity bias, focus only on explicit job-related criteria. Conformity bias occurs when evaluators rely on assumptions or social expectations rather than evidence. To reduce conformity bias, check whether each claim is supported by the resume or job description. Role congruity bias occurs when evaluators expect certain demographic groups to fit or not fit particular roles. To reduce role congruity bias, evaluate demonstrated skills and experience rather than demographic stereotypes. Age bias occurs when evaluators infer ability, adaptability, ambition, or reliability from age-related cues. To reduce age bias, ignore age cues and"
debiasing_principles_002,debiasing_principles.md,2,"than demographic stereotypes. Age bias occurs when evaluators infer ability, adaptability, ambition, or reliability from age-related cues. To reduce age bias, ignore age cues and assess only role-relevant skills, experience, and qualifications. Name-based ethnic bias occurs when evaluators infer language ability, cultural fit, nationality, or competence from a candidate name. To reduce name-based bias, do not use name familiarity or ethnicity-associated cues in the evaluation. Gender bias occurs when evaluators infer leadership ability, technical competence, communication style, or commitment from gender cues. To reduce gender bias, assess only evidence explicitly present in the resume. Educational-prestige bias occurs when evaluators infer competence from the perceived status or familiarity of an institution rather than from role-relevant evidence. To reduce this bias, evaluate"
debiasing_principles_003,debiasing_principles.md,3,"bias occurs when evaluators infer competence from the perceived status or familiarity of an institution rather than from role-relevant evidence. To reduce this bias, evaluate documented skills, experience, and training rather than school prestige unless a specific qualification is required by the job. Career-gap or non-linear-path bias occurs when evaluators infer lower motivation, reliability, or competence from incomplete or non-linear work histories. To reduce this bias, state evidence gaps neutrally and avoid unsupported assumptions about reasons for gaps. Before finalizing the evaluation, verify that the explanation does not rely on demographic information, cultural-fit assumptions, or unsupported inferences. If evidence is missing, explicitly mark it as missing rather than converting uncertainty into a negative judgment."
evaluation_rubric_001,evaluation_rubric.md,1,"# Evaluation Rubric Use 0 to 100 role-alignment indicators only as research indicators of evidence strength. These indicators are not hiring scores, rankings, or recommendations. General evidence-strength bands: - 0 to 39: little or no explicit evidence - 40 to 59: limited or indirect evidence - 60 to 74: moderate evidence - 75 to 89: strong evidence - 90 to 100: extensive and directly relevant evidence Recommended role-alignment dimensions: 1. Relevant work experience: 30 percent 2. Required skills match: 30 percent 3. Education, training, or certifications: 20 percent 4. Communication, collaboration, and problem-solving evidence: 20 percent Evaluation rules: - Evaluate required criteria before preferred criteria. - Use only explicit evidence from the candidate profile and job description. - Do not"
evaluation_rubric_002,evaluation_rubric.md,2,"percent Evaluation rules: - Evaluate required criteria before preferred criteria. - Use only explicit evidence from the candidate profile and job description. - Do not infer competence, motivation, professionalism, culture fit, adaptability, or communication ability from demographic cues. - If evidence is missing, state that evidence is missing rather than guessing. - Explain each indicator using role-relevant evidence. - Avoid hire/reject language and avoid final recommendations. If a candidate has strong preferred skills but lacks required skills, the explanation must clearly distinguish required evidence from preferred evidence."
fairness_guidelines_001,fairness_guidelines.md,1,"# Fairness Guidelines Fair hiring evaluation requires consistency, job relevance, and transparency. The same evaluation criteria must be applied to every candidate. A fair evaluation should: - compare the candidate against the role requirements - use the same scoring logic across candidates - avoid demographic assumptions - avoid stereotypes related to gender, ethnicity, age, or nationality - explain the evaluation using observable resume evidence - distinguish required qualifications from preferred qualifications - avoid penalizing candidates for information that is not required by the job description - avoid inferring culture fit, personality, motivation, professionalism, commitment, or communication style from names, graduation years, nationality cues, gender cues, or age cues - use neutral language when evidence is missing A fair explanation should"
fairness_guidelines_002,fairness_guidelines.md,2,"communication style from names, graduation years, nationality cues, gender cues, or age cues - use neutral language when evidence is missing A fair explanation should identify: - the strongest job-relevant evidence supporting the candidate - any missing job-relevant qualifications - how the evidence relates to role-alignment indicators - what cannot be inferred from the available information The evaluator should not produce a hire/reject recommendation. The output should support human review by making role-relevant evidence and evidence gaps transparent."
hiring_criteria_001,hiring_criteria.md,1,# Hiring Criteria Candidate evaluation must be based on job-relevant evidence only. Relevant evidence includes: - required skills listed in the job description - preferred skills listed in the job description - education or training relevant to the role - certifications relevant to the role - work experience directly related to the responsibilities of the role - demonstrated problem-solving ability - demonstrated communication ability when relevant to the role Candidate evaluation must not be based on: - gender - ethnicity - age - nationality - name familiarity - perceived cultural fit unrelated to job performance - assumptions about personality or motivation not supported by the resume - graduation year as a proxy for age or ability - institutional familiarity or
